date,total_goals_actual_running,total_goals_xg_running
11/08/2017,7,4
09/09/2017,78,78.5
01/10/2017,170,169.3
04/11/2017,263,249
02/12/2017,373,346.8
01/01/2018,559,528.9
03/02/2018,668,628.8
01/03/2018,757,705.7
01/04/2018,848,787.5
04/05/2018,957,886.1
10/08/2018,1021,949.8
01/09/2018,1110,1028.4
01/10/2018,1217,1132.7
03/11/2018,1298,1216.6
01/12/2018,1381,1299.2
01/01/2019,1588,1479.5
02/02/2019,1701,1585.3
02/03/2019,1811,1696.5
01/04/2019,1906,1781.2
03/05/2019,2031,1911
09/08/2019,2095,1970.5
01/09/2019,2199,2072.4
05/10/2019,2298,2167.2
02/11/2019,2377,2254.6
01/12/2019,2487,2360.5
01/01/2020,2651,2517.9
01/02/2020,2760,2636.5
01/03/2020,2853,2741.4
17/06/2020,2874,2772.7
01/07/2020,2935,2828.9
13/08/2021,3126,3013
11/09/2021,3212,3101.3
02/10/2021,3284,3189.6
01/11/2021,3406,3305.5
01/12/2021,3490,3398
01/01/2022,3645,3558.1
05/02/2022,3729,3647.1
01/03/2022,3836,3773.6
02/04/2022,3926,3865.5
01/05/2022,4062,4009.6
